AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,760102,_. __________,Khlong Krachaeng,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.112,99.943
4,730302,_. _________,Bang Krabao,7303,_. _________,Nakhon Chai Si,73,_. ______,Nakhon Pathom,13.793,100.183
4,240103,_. ________,Ban Mai,2401,_. _______________,Mueang Chachoengsao,24,_. __________,Chachoengsao,13.707,101.100
4,102501,____ _______,,1025,___ _______,Bang Phlat,10,_____________,Bangkok,13.791,100.487
4,750307,_. _______,Khwae Om,7503,_. ______,Amphawa,75,_. ___________,Samut Songkhram,13.436,99.937
4,150208,_. ____,Chawai,1502,_. ____,Chaiyo,15,_. _______,Ang Thong,14.687,100.494
4,750212,_. _________,Bang Krabue,7502,_. _______,Bang Khonthi,75,_. ___________,Samut Songkhram,13.463,99.968
4,100704,____ _______,,1007,___ _______,Pathum Wan,10,_____________,Bangkok,13.736,100.546
4,110415,_. _________,Samrong Klang,1104,_. _________,Phra Pradaeng,11,_. ___________,Samut Prakarn,13.653,100.564
4,140109,_. ________,Samphao Lom,1401,_. _______________,Phra Nakhon Si Ayutthaya,14,_. _______________,Phra Nakhon Si Ayutthaya,14.340,100.570
4,200701,_. _______,Si Racha,2007,_. _______,Si Racha,20,_. ______,Chon Buri,13.162,100.923
4,810301,_. _____________,Ko Lanta Yai,8103,_. _________,Ko Lanta,81,_. ______,Krabi,7.417,99.204
4,570101,_. _____,Wiang,5701,_. _____________,Mueang Chiang Rai,57,_. ________,Chiang Rai,19.907,99.832
4,102202,____ _______,,1022,___ _________,Phasi Charoen,10,_____________,Bangkok,13.723,100.437
