AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,190114,_. _____,Takut,1901,_. ____________,Mueang Saraburi,19,_. _______,Saraburi,14.553,100.933
4,190212,_. ______,Tao Pun,1902,_. _______,Kaeng Khoi,19,_. _______,Saraburi,14.603,100.956
4,150411,_. ______,Bo Rae,1504,_. ________,Pho Thong,15,_. _______,Ang Thong,14.637,100.372
4,101204,____ _________,,1012,___ _______,Yannawa,10,_____________,Bangkok,13.697,100.544
4,150114,_. ________,Yan Sue,1501,_. ____________,Mueang Ang Thong,15,_. _______,Ang Thong,14.619,100.447
4,730614,_. _____,Yai Cha,7306,_. _______,Sam Phran,73,_. ______,Nakhon Pathom,13.733,100.235
4,750111,_. __________,Bang Chakreng,7501,_. ________________,Mueang Samut Songkhram,75,_. ___________,Samut Songkhram,13.376,100.010
4,760607,_. ______,Tha Sen,7606,_. _______,Ban Lat,76,_. ________,Phetchaburi,13.046,99.948
4,700710,_. ________,Khlong Khoi,7007,_. _______,Photharam,70,_. _______,Ratchaburi,13.675,99.827
4,140806,_. _________,Tha Din Daeng,1408,_. ______,Phak Hai,14,_. _______________,Phra Nakhon Si Ayutthaya,14.416,100.388
4,102402,____ ________,,1024,___ ___________,Rat Burana,10,_____________,Bangkok,13.675,100.491
4,670306,_. ________,Nam Hia,6703,_. _______,Lom Sak,67,_. _________,Phetchabun,16.830,101.206
4,430118,_. ________,Mueang Mi,4301,_. ____________,Mueang Nong Khai,43,_. _______,Nong Khai,17.833,102.702
4,141214,_. _____,Lat Nga,1412,_. ____,Sena,14,_. _______________,Phra Nakhon Si Ayutthaya,14.372,100.358
4,430102,_. _____,Mi Chai,4301,_. ____________,Mueang Nong Khai,43,_. _______,Nong Khai,17.868,102.729
4,301803,_. _____,Khorat,3018,_. _______,Sung Noen,30,_. __________,Nakhon Ratchasima,14.909,101.851
4,110404,_. ______,Bang Khru,1104,_. _________,Phra Pradaeng,11,_. ___________,Samut Prakarn,13.631,100.526
4,103902,____ ____________,,1039,___ _____,Watthana,10,_____________,Bangkok,13.736,100.576
4,760111,_. ________,Ban Mo,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.092,99.932
4,130104,_. _______,Ban Chang,1301,_. _____________,Mueang Pathum Thani,13,_. ________,Pathum Thani,14.029,100.507
4,341510,_. ________,Kham Nam Sap,3415,_. __________,Warin Chamrap,34,_. ___________,Ubon Ratchathani,15.198,104.815
4,501404,_. _________,San Na Meng,5014,_. _______,San Sai,50,_. _________,Chiang Mai,18.842,99.062
4,670303,_. _________,Tan Diao,6703,_. _______,Lom Sak,67,_. _________,Phetchabun,16.785,101.248
4,140418,_. ________,Ban Ko,1404,_. ______,Bang Sai,14,_. _______________,Phra Nakhon Si Ayutthaya,14.236,100.460
4,140504,_. ________,Saphan Thai,1405,_. ______,Bang Ban,14,_. _______________,Phra Nakhon Si Ayutthaya,14.363,100.486
4,700508,_. ________,Suan Kluai,7005,_. ________,Ban Pong,70,_. _______,Ratchaburi,13.798,99.882
4,640601,_. _______,Khlong Tan,6406,_. ________,Si Samrong,64,_. _______,Sukhothai,17.158,99.858
4,941008,_. _____,Krado,9410,_. _____,Yarang,94,_. _______,Pattani,6.717,101.299
4,140305,_. _______,Pak Chan,1403,_. _______,Nakhon Luang,14,_. _______________,Phra Nakhon Si Ayutthaya,14.440,100.620
4,670101,_. _______,Nai Mueang,6701,_. ______________,Mueang Phetchabun,67,_. _________,Phetchabun,16.420,101.156
4,140706,_. ________,Bang Phloeng,1407,_. ________,Bang Pahan,14,_. _______________,Phra Nakhon Si Ayutthaya,14.500,100.577
4,103301,____ _______,,1033,___ _______,Khlong Toei,10,_____________,Bangkok,13.710,100.570
4,540801,_. _______,Mae Kham Mi,5408,_. ___________,Nong Muang Khai,54,_. ____,Phrae,18.271,100.218
4,540412,_. _______,Phra Luang,5404,_. _______,Sung Men,54,_. ____,Phrae,18.069,100.111
4,160603,_. _________,Ban Kluai,1606,_. ________,Ban Mi,16,_. ______,Lop Buri,15.016,100.578
4,120109,_. ______,Sai Ma,1201,_. ____________,Mueang Nonthaburi,12,_. _______,Nonthaburi,13.870,100.472
4,760114,_. ______,Na Wung,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.088,99.977
4,110405,_. ___________,Bang Ya Phraek,1104,_. _________,Phra Pradaeng,11,_. ___________,Samut Prakarn,13.645,100.546
4,700811,_. ______,Wan Dao,7008,_. ______,Pak Tho,70,_. _______,Ratchaburi,13.354,99.856
4,191012,_. _________,Suan Dokmai,1910,_. ______,Sao Hai,19,_. _______,Saraburi,14.540,100.868
4,140708,_. _________,Bang Nang Ra,1407,_. ________,Bang Pahan,14,_. _______________,Phra Nakhon Si Ayutthaya,14.474,100.531
4,730110,_. _______,Bo Phlap,7301,_. ___________,mueang Nakhon Pathom,73,_. ______,Nakhon Pathom,13.837,100.065
4,510605,_. _________,Ban Ruean,5106,_. ______,Pa Sang,51,_. _____,Lamphun,18.509,98.871
